,,SN neutrino arrival delay [s] 2022-06-14 20:00:00.100
V0595 Cas,SK,0.0928508958391613
V0595 Cas,KL,0.09285094438144972
V0771 Cen,SK,0.02752010887462855
V0771 Cen,KL,0.027520714138967898
V0771 Cen,HK,0.02753823199215517
V0771 Cen,PandaX-4T,0.033671774510373204
V0771 Cen,JUNO,0.034066113484566986
V0771 Cen,NOvA,0.03880842074992142
V0771 Cen,Baksan,0.03884237429611923
V0771 Cen,SNOP,0.040744062662875155
V0771 Cen,HALO-1kT,0.040744062662875155
V0771 Cen,MicroBooNe,0.041512266891756494
V0771 Cen,SBND,0.041512266891756494
V0771 Cen,DUNE,0.041512266891756494
V0771 Cen,LZ,0.041512266891756494
V0771 Cen,DS-20K,0.04267787017121238
V0771 Cen,Borexino,0.04267787017121238
V0771 Cen,LVD,0.04267787017121238
V0771 Cen,XENONnT,0.04267787017121238
V0771 Cen,KM3,0.04450868053259007
V0771 Cen,IC,0.06434853596931056
12 Peg,IC,0.03661454745163592
12 Peg,MicroBooNe,0.038145119738547346
12 Peg,LZ,0.038145119738547346
12 Peg,SBND,0.038145119738547346
12 Peg,DUNE,0.038145119738547346
12 Peg,SNOP,0.0387836406192529
12 Peg,HALO-1kT,0.0387836406192529
12 Peg,NOvA,0.0407283342024698
12 Peg,KM3,0.04477905763988234
12 Peg,DS-20K,0.04518923468582563
12 Peg,LVD,0.04518923468582563
12 Peg,XENONnT,0.04518923468582563
12 Peg,Borexino,0.04518923468582563
12 Peg,Baksan,0.05115546631829982
12 Peg,PandaX-4T,0.059675427710027866
12 Peg,KL,0.05988353821608804
12 Peg,SK,0.05988358045328779
12 Peg,HK,0.059887136015582605
12 Peg,JUNO,0.0603287358267424
NSV 16609,PandaX-4T,0.04310355936599559
NSV 16609,IC,0.04407697356911455
NSV 16609,JUNO,0.04413506873064801
NSV 16609,Baksan,0.04485491062177723
NSV 16609,KM3,0.04662576194283093
NSV 16609,DS-20K,0.04873198892645028
NSV 16609,LVD,0.04873198892645028
NSV 16609,XENONnT,0.04873198892645028
NSV 16609,Borexino,0.04873198892645028
NSV 16609,HK,0.05331133466147033
NSV 16609,SK,0.0533211808617329
NSV 16609,KL,0.05332188469328572
NSV 16609,HALO-1kT,0.06608863799893426
NSV 16609,SNOP,0.06608863799893426
NSV 16609,NOvA,0.06692478558151602
NSV 16609,SBND,0.06708098840235416
NSV 16609,DUNE,0.06708098840235416
NSV 16609,LZ,0.06708098840235416
NSV 16609,MicroBooNe,0.06708098840235416
HD 33299,IC,0.0633701258255652
HD 33299,PandaX-4T,0.06875418341440703
HD 33299,Baksan,0.06908442272557253
